Bird_name,Plant_name,Plant_name_in_reference,Plant_genus,Plant_family,Cons_ID_by,Plant_ID_by,ID_Florical,Voucher,Reference,Ref_type,Link_to_ref
Ptilinopus greyi,,,Ficus,,,,,,Boissenin et al. (2006),Technical report,
Ptilinopus greyi,,,Vitex,,,,,,Boissenin et al. (2006),Technical report,
Zosterops xanthochroa,,,Atractocarpus,,,,,,Boissenin et al. (2006),Technical report,
Zosterops xanthochroa,,,Ficus,,,,,,Boissenin et al. (2006),Technical report,
Zosterops xanthochroa,,,Vitex,,,,,,Boissenin et al. (2006),Technical report,
Ducula goliath,,,Tapeinosperma,,,,,,Colombo (pers. commun.),Personal communication,
Ducula goliath,,,Eugenia,,,,,,Condamin (1978),Technical report,
Ducula goliath,,,Schefflera,,,,,,Condamin (1978),Technical report,
Ducula goliath,,,Freycinetia,,,,,,Condamin (1978),Technical report,
Columba vitiensis hypoenochroa,,,Ipomea,,,,,,Desmoulins & Barré (2005),Book,
Aplonis striata striata,,,,Arecaceae,Létocart,,,,Endeima,Online photo,https://endemia.nc/faune/fiche205
Aplonis striata striata,,,Schefflera,,,,,,Lebreton (pers. commun.),Personal communication,
Ducula goliath,,,Exocarpos,,,,,,Létocart (1998),Technical report,
Ducula goliath,,,Garcinia,,,,,,Létocart (1998),Technical report,
Ducula goliath,,,Guettarda,,,,,,Létocart (1998),Technical report,
Ducula goliath,,,Pandanus,,,,,,Létocart (1998),Technical report,
Ducula goliath,,,Piliocalyx,,,,,,Létocart (1998),Technical report,
Ducula goliath,,,Polyscias,,,,,,Létocart (1998),Technical report,
Ducula goliath,,,Syzygium,,,,,,Létocart (1998),Technical report,
Ducula goliath,,,Hugonia,,,,,,Meandu Poveu (pers. commun.),Personal communication,
Ducula goliath,,,Semecarpus,,,J. Munzinger,,4-03-2013D,Munzinger (pers. commun.),Personal communication,
Ducula goliath,,,Pandanus,,,,,,Munzinger (pers. commun.),Personal communication,
Ducula goliath,,,Pandanus,,,,,,Munzinger (pers. commun.),Personal communication,
