locality,longitude,latitude,year_obs,nom_taxon,family,genus,dbh
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,11.5
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,11.9
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,11
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,13.2
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,12.1
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,13.7
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,15
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,12.1
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,13.7
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10.5
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10.2
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,12.6
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,12.6
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10.8
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,11.1
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10.5
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,13.7
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10.3
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,12.7
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,12.7
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,14.3
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,15.3
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,14
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,11.1
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,12.4
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10.8
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,15.3
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,11.1
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,14.3
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,12.1
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10.2
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,10
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,12.1
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,11.5
Wekori,165.7252931,-21.37860638,2017,Alangium vitiense,Cornaceae,Alangium,13.1
